title,rank,date,artist,url,region,chart,trend,streams,year
Purple Rain,1,2017-02-17,Prince,https://open.spotify.com/track/54X78diSLoUDI3joC2bjMz,Argentina,viral50,SAME_POSITION,,2017
"City Of Stars - From ""La La Land"" Soundtrack",1,2017-01-28,"Ryan Gosling, Emma Stone",https://open.spotify.com/track/0LtVx5vsq9nfpGsWgjUin6,Mexico,viral50,SAME_POSITION,,2017
Sleep Talking,1,2017-10-24,Charlotte Lawrence,https://open.spotify.com/track/0bOH2yZkaVSg2OdegIlp2J,Brazil,viral50,SAME_POSITION,,2017
Despacito (Featuring Daddy Yankee),1,2017-01-30,Luis Fonsi,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2,Uruguay,top200,SAME_POSITION,33967.0,2017
Despacito - Remix,1,2017-04-21,"Luis Fonsi, Daddy Yankee, Justin Bieber",https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,Peru,top200,SAME_POSITION,98818.0,2017
Andromeda (feat. DRAM),1,2017-03-30,Gorillaz,https://open.spotify.com/track/0V5zAGdvO780GT3gtdxzLt,Argentina,viral50,SAME_POSITION,,2017
Reggaetón Lento (Bailemos),1,2017-01-04,CNCO,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,Peru,top200,SAME_POSITION,39915.0,2017
Despacito (Featuring Daddy Yankee),1,2017-05-28,Luis Fonsi,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2,Colombia,top200,SAME_POSITION,67854.0,2017
Despacito (Featuring Daddy Yankee),1,2017-03-23,Luis Fonsi,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2,Argentina,top200,SAME_POSITION,298328.0,2017
Mi Gente,1,2017-07-03,"J Balvin, Willy William",https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8,Colombia,top200,SAME_POSITION,70542.0,2017
Criminal,1,2017-12-06,"Natti Natasha, Ozuna",https://open.spotify.com/track/6Za3190Sbw39BBC77WSS1C,Mexico,top200,SAME_POSITION,373817.0,2017
Corpo Sensual (feat. Mateus Carrilho),1,2017-10-22,Pabllo Vittar,https://open.spotify.com/track/4kkQGhScJDzNIIGavQE9SN,Brazil,top200,SAME_POSITION,267200.0,2017
Wall of Glass,1,2017-06-06,Liam Gallagher,https://open.spotify.com/track/3eqhMltljpvMkVNUbAHyQI,Colombia,viral50,SAME_POSITION,,2017
Bum Bum Tam Tam,1,2017-12-24,"MC Fioti, Future, J Balvin, Stefflon Don, Juan Magán",https://open.spotify.com/track/4zWO4gvuFtw6EJZC5FFGlr,Mexico,viral50,SAME_POSITION,,2017
Una Lady Como Tú,1,2017-07-11,Manuel Turizo,https://open.spotify.com/track/7MHN1aCFtLXjownGhvEQlF,Mexico,top200,SAME_POSITION,506240.0,2017
Déjala Que Vuelva (feat. Manuel Turizo),1,2017-11-25,Piso 21,https://open.spotify.com/track/33bnxcjePIkcmNjEFTJX0l,Colombia,top200,SAME_POSITION,66806.0,2017
Despacito (Featuring Daddy Yankee),1,2017-02-14,Luis Fonsi,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2,Uruguay,top200,SAME_POSITION,28340.0,2017
Despacito (Featuring Daddy Yankee),1,2017-03-01,Luis Fonsi,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2,Mexico,top200,SAME_POSITION,683600.0,2017
Bum Bum Tam Tam,1,2017-12-28,"MC Fioti, Future, J Balvin, Stefflon Don, Juan Magán",https://open.spotify.com/track/4zWO4gvuFtw6EJZC5FFGlr,Chile,viral50,SAME_POSITION,,2017
Despacito (Featuring Daddy Yankee),1,2017-01-21,Luis Fonsi,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2,Colombia,top200,SAME_POSITION,70429.0,2017
Amantes,1,2017-11-11,"Greeicy, Mike Bahía",https://open.spotify.com/track/3IyPnNX142pvWx6D5CiimD,Colombia,viral50,SAME_POSITION,,2017
